Company Name,Company Location,Ratting,Reviews,Company Type,Reason For Review
TCS,Bangalore / Bengaluru +430 other locations,3.4,(1.1L),IT Services & Consulting,Job Security
Accenture,Bangalore / Bengaluru +245 other locations,3.7,(67.8k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Wipro,Bangalore / Bengaluru +366 other locations,3.7,(60.8k),IT Services & Consulting,Job Security
Cognizant,Hyderabad / Secunderabad +224 other locations,3.7,(57.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Capgemini,Bangalore / Bengaluru +180 other locations,3.7,(49.5k),IT Services & Consulting,"Work Life Balance, Job Security"
HDFC Bank,Mumbai +1778 other locations,3.8,(47.8k),Banking,"Job Security, Skill Development / Learning"
Infosys,Bangalore / Bengaluru +238 other locations,3.5,(45.5k),IT Services & Consulting,Job Security
ICICI Bank,Mumbai +1416 other locations,4.0,(43.5k),Banking,"Job Security, Skill Development / Learning, Company Culture"
HCLTech,Chennai +223 other locations,3.4,(42.5k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Tech Mahindra,Hyderabad / Secunderabad +329 other locations,3.4,(40.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Genpact,Hyderabad / Secunderabad +172 other locations,3.6,(38.9k),IT Services & Consulting,Job Security
Teleperformance,Mumbai +251 other locations,3.8,(34.9k),BPO,Job Security
Axis Bank,Mumbai +1478 other locations,3.7,(30.8k),Banking,"Work Satisfaction, Promotions / Appraisal, Company Culture"
Concentrix Corporation,Bangalore / Bengaluru +174 other locations,3.6,(30.3k),BPO,Job Security
Jio,Mumbai +1781 other locations,4.3,(29.5k),Telecom,"Job Security, Skill Development / Learning, Company Culture"
Amazon,Bangalore / Bengaluru +510 other locations,4.0,(29.3k),Internet,"Company Culture, Work Life Balance, Salary & Benefits"
iEnergizer,Noida +49 other locations,4.6,(26.8k),BPO,"Company Culture, Work Life Balance, Work Satisfaction"
Reliance Retail,Mumbai +1126 other locations,3.9,(25.9k),Retail,"Skill Development / Learning, Work Life Balance, Job Security"
IBM,Bangalore / Bengaluru +159 other locations,3.9,(24.6k),IT Services & Consulting,"Work Life Balance, Company Culture, Job Security"
LTIMindtree,Bangalore / Bengaluru +138 other locations,3.6,(24.2k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
HDB Financial Services,Mumbai +1066 other locations,3.9,(24k),NBFC,"Job Security, Skill Development / Learning"
Larsen & Toubro Limited,Chennai +736 other locations,3.9,(22.1k),Engineering & Construction,"Job Security, Skill Development / Learning"
Deloitte,Hyderabad / Secunderabad +179 other locations,3.7,(21.3k),Management Consulting,Job Security
Kotak Mahindra Bank,Mumbai +673 other locations,3.6,(20.8k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Reliance Industries,Jamnagar +796 other locations,4.0,(18.9k),Oil & Gas,"Job Security, Skill Development / Learning, Work Life Balance"
Vodafone Idea,Pune +694 other locations,4.0,(16.9k),Telecom,"Company Culture, Work Life Balance, Salary & Benefits"
BYJU'S,Bangalore / Bengaluru +322 other locations,3.1,(16.6k),EdTech,"Job Security, Work Life Balance, Company Culture"
Bharti Airtel,Gurgaon / Gurugram +775 other locations,3.9,(16.1k),Telecom,Skill Development / Learning
WNS,Pune +60 other locations,3.3,(14.1k),BPO,"Promotions / Appraisal, Salary & Benefits, Company Culture"
AU Small Finance Bank,Jaipur +756 other locations,4.1,(13.4k),Banking,"Work Life Balance, Job Security, Skill Development / Learning"
Tata Motors,Pune +497 other locations,4.1,(13.4k),Automobile,"Job Security, Company Culture, Work Life Balance"
IndusInd Bank,Mumbai +780 other locations,3.4,(13.2k),Banking,"Promotions / Appraisal, Company Culture, Work Satisfaction"
Ernst & Young,Bangalore / Bengaluru +127 other locations,3.4,(13.1k),Management Consulting,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
IDFC FIRST Bank,Mumbai +701 other locations,3.9,(13k),Banking,"Salary & Benefits, Skill Development / Learning"
Flipkart,Bangalore / Bengaluru +549 other locations,3.9,(12.1k),Internet,"Company Culture, Skill Development / Learning"
Bajaj Finserv,Pune +1118 other locations,4.0,(11.7k),Financial Services,"Salary & Benefits, Skill Development / Learning, Job Security"
DXC Technology,Bangalore / Bengaluru +133 other locations,3.6,(11.4k),IT Services & Consulting,Work Life Balance
PwC,Bangalore / Bengaluru +127 other locations,3.3,(11.4k),Management Consulting,"Promotions / Appraisal, Work Life Balance, Work Satisfaction"
Infosys BPM,Bangalore / Bengaluru +90 other locations,3.5,(11.3k),BPO,Job Security
Mahindra & Mahindra,Pune +548 other locations,4.1,(11.3k),Automobile,"Job Security, Skill Development / Learning, Company Culture"
HDFC Life,Mumbai +679 other locations,3.9,(11.1k),Insurance,"Skill Development / Learning, Work Life Balance, Job Security"
Bandhan Bank,Kolkata +963 other locations,3.7,(9.9k),Banking,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
Conneqt Business Solutions,Hyderabad / Secunderabad +259 other locations,3.5,(9.8k),BPO,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Muthoot Fincorp,Bangalore / Bengaluru +1001 other locations,4.5,(10.1k),NBFC,"Company Culture, Work Life Balance, Job Security"
Mphasis,Bangalore / Bengaluru +61 other locations,3.3,(9.7k),IT Services & Consulting,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
Yes Bank,Mumbai +529 other locations,3.7,(9.4k),Banking,"Job Security, Promotions / Appraisal, Company Culture"
Tata Steel,Jamshedpur +223 other locations,4.0,(9.2k),Iron & Steel,"Work Life Balance, Job Security, Company Culture"
Quess,Bangalore / Bengaluru +709 other locations,3.8,(8.9k),IT Services & Consulting,"Promotions / Appraisal, Job Security"
Startek,Bangalore / Bengaluru +102 other locations,3.1,(8.9k),BPO,"Promotions / Appraisal, Salary & Benefits, Company Culture"
Asian Paints,Mumbai +531 other locations,3.9,(8.7k),Chemicals,"Salary & Benefits, Skill Development / Learning"
Paytm,Noida +400 other locations,3.2,(8.7k),FinTech,"Job Security, Promotions / Appraisal, Company Culture"
UltraTech Cement,Mumbai +525 other locations,4.1,(8.6k),Building Material,"Job Security, Skill Development / Learning, Company Culture"
Shriram Finance,Chennai +1080 other locations,4.0,(8.5k),NBFC,"Job Security, Company Culture, Work Life Balance"
Maruti Suzuki,Gurgaon / Gurugram +434 other locations,4.2,(8.4k),Automobile,"Job Security, Salary & Benefits, Company Culture"
Bajaj Finance,Pune +929 other locations,3.9,(8.3k),NBFC,"Salary & Benefits, Skill Development / Learning, Job Security"
Sutherland Global Services,Chennai +76 other locations,3.4,(8.3k),BPO,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
EXL Service,Noida +60 other locations,3.6,(8.1k),IT Services & Consulting,Job Security
Samsung,Noida +565 other locations,3.9,(8.1k),Consumer Electronics & Appliances,Salary & Benefits
Ericsson,Bangalore / Bengaluru +161 other locations,4.0,(8.1k),Telecom,"Company Culture, Work Life Balance"
Cipla,Mumbai +286 other locations,4.1,(8k),Pharma,"Salary & Benefits, Work Life Balance, Skill Development / Learning"
Wells Fargo,Bangalore / Bengaluru +28 other locations,3.7,(7.8k),Financial Services,Work Life Balance
